Frequency (Hz)	Level (dB)
43.066406	-36.649525
86.132812	-39.809525
129.199219	-39.980869
172.265625	-41.942448
215.332031	-42.163086
258.398438	-39.225655
301.464844	-36.964497
344.531250	-37.207645
387.597656	-36.869064
430.664062	-35.992001
473.730469	-36.957573
516.796875	-37.247643
559.863281	-37.596146
602.929688	-36.693192
645.996094	-36.500656
689.062500	-38.494152
732.128906	-39.931210
775.195312	-40.883991
818.261719	-41.044643
861.328125	-43.009739
904.394531	-43.468258
947.460938	-42.084663
990.527344	-41.722324
1033.593750	-40.849865
1076.660156	-38.587147
1119.726562	-38.376965
1162.792969	-38.249226
1205.859375	-37.353653
1248.925781	-38.328686
1291.992188	-39.961571
1335.058594	-39.894520
1378.125000	-40.919388
1421.191406	-41.725609
1464.257812	-40.383301
1507.324219	-40.979221
1550.390625	-42.165985
1593.457031	-41.669147
1636.523438	-40.818626
1679.589844	-40.290039
1722.656250	-39.731304
1765.722656	-39.026695
1808.789062	-41.427185
1851.855469	-43.254639
1894.921875	-42.178574
1937.988281	-41.577160
1981.054688	-40.403675
2024.121094	-37.461922
2067.187500	-35.232094
2110.253906	-35.230095
2153.320312	-35.264179
2196.386719	-35.210514
2239.453125	-35.812428
2282.519531	-34.588257
2325.585938	-31.172176
2368.652344	-31.599733
2411.718750	-35.264484
2454.785156	-35.725964
2497.851562	-39.278450
2540.917969	-42.935760
2583.984375	-40.637310
2627.050781	-36.837536
2670.117188	-35.138798
2713.183594	-35.924503
2756.250000	-36.839710
2799.316406	-35.981731
2842.382812	-35.759468
2885.449219	-37.043293
2928.515625	-37.629520
2971.582031	-38.685120
3014.648438	-42.525005
3057.714844	-49.293411
3100.781250	-51.513393
3143.847656	-53.900211
3186.914062	-53.752522
3229.980469	-52.556610
3273.046875	-50.339577
3316.113281	-48.793671
3359.179688	-48.775059
3402.246094	-46.552341
3445.312500	-45.707935
3488.378906	-45.370232
3531.445312	-45.416737
3574.511719	-45.782845
3617.578125	-43.754730
3660.644531	-42.289337
3703.710938	-39.202309
3746.777344	-37.249088
3789.843750	-38.244064
3832.910156	-38.207321
3875.976562	-36.074432
3919.042969	-36.324520
3962.109375	-35.816517
4005.175781	-37.250732
4048.242188	-40.251282
4091.308594	-42.704361
4134.375000	-42.925064
4177.441406	-42.094040
4220.507812	-42.594975
4263.574219	-44.071880
4306.640625	-43.710159
4349.707031	-42.215099
4392.773438	-41.622849
4435.839844	-40.267181
4478.906250	-41.517078
4521.972656	-42.590981
4565.039062	-40.614132
4608.105469	-41.134007
4651.171875	-42.962265
4694.238281	-42.938816
4737.304688	-43.897552
4780.371094	-48.134331
4823.437500	-50.136276
4866.503906	-46.885056
4909.570312	-44.088150
4952.636719	-42.482178
4995.703125	-43.638645
5038.769531	-44.617077
5081.835938	-43.691616
5124.902344	-42.336590
5167.968750	-40.843018
5211.035156	-41.204727
5254.101562	-41.519089
5297.167969	-43.930443
5340.234375	-44.931828
5383.300781	-44.078804
5426.367188	-44.087685
5469.433594	-45.518909
5512.500000	-47.145641
5555.566406	-48.091919
5598.632812	-45.296940
5641.699219	-41.697536
5684.765625	-39.283962
5727.832031	-38.388752
5770.898438	-40.622864
5813.964844	-42.347633
5857.031250	-44.068047
5900.097656	-44.023487
5943.164062	-43.668835
5986.230469	-42.138794
6029.296875	-43.402691
6072.363281	-45.713726
6115.429688	-45.826939
6158.496094	-45.156887
6201.562500	-43.417355
6244.628906	-42.779900
6287.695312	-42.507442
6330.761719	-42.920582
6373.828125	-43.872044
6416.894531	-42.223839
6459.960938	-41.290726
6503.027344	-41.955845
6546.093750	-42.704147
6589.160156	-43.583160
6632.226562	-46.649944
6675.292969	-46.518982
6718.359375	-45.384991
6761.425781	-44.163013
6804.492188	-45.020645
6847.558594	-44.420414
6890.625000	-43.029690
6933.691406	-41.931934
6976.757812	-42.752129
7019.824219	-44.450367
7062.890625	-45.353565
7105.957031	-45.798855
7149.023438	-45.716896
7192.089844	-44.849457
7235.156250	-41.921486
7278.222656	-39.674465
7321.289062	-38.400745
7364.355469	-38.582607
7407.421875	-37.991352
7450.488281	-37.052773
7493.554688	-37.274426
7536.621094	-38.473160
7579.687500	-40.172817
7622.753906	-42.029961
7665.820312	-43.619370
7708.886719	-46.621651
7751.953125	-48.784458
7795.019531	-48.398060
7838.085938	-46.038116
7881.152344	-47.219769
7924.218750	-45.774284
7967.285156	-43.856689
8010.351562	-43.797264
8053.417969	-42.998150
8096.484375	-43.029209
8139.550781	-42.418774
8182.617188	-42.311939
8225.683594	-43.751633
8268.750000	-43.704185
8311.816406	-44.995247
8354.882812	-45.792675
8397.949219	-44.182465
8441.015625	-43.412243
8484.082031	-44.181156
8527.148438	-42.342743
8570.214844	-41.458843
8613.281250	-41.760410
8656.347656	-41.719864
8699.414062	-43.249237
8742.480469	-43.302021
8785.546875	-43.780731
8828.613281	-42.581783
8871.679688	-39.930992
8914.746094	-39.348557
8957.812500	-40.790344
9000.878906	-41.507668
9043.945312	-38.904770
9087.011719	-38.534077
9130.078125	-41.767662
9173.144531	-44.427307
9216.210938	-42.856163
9259.277344	-44.972301
9302.343750	-45.816822
9345.410156	-44.215885
9388.476562	-46.744522
9431.542969	-47.992970
9474.609375	-43.504093
9517.675781	-42.842922
9560.742188	-40.434029
9603.808594	-39.505615
9646.875000	-40.916004
9689.941406	-40.997421
9733.007812	-39.235729
9776.074219	-38.731792
9819.140625	-38.989521
9862.207031	-40.017521
9905.273438	-39.608932
9948.339844	-39.813820
9991.406250	-40.979012
10034.472656	-42.516041
10077.539062	-44.924118
10120.605469	-44.129017
10163.671875	-42.726219
10206.738281	-42.864239
