Frequency (Hz)	Level (dB)
43.066406	-38.903736
86.132812	-38.297569
129.199219	-36.967335
172.265625	-37.832176
215.332031	-37.182610
258.398438	-36.625122
301.464844	-34.254337
344.531250	-32.282925
387.597656	-28.758659
430.664062	-27.350723
473.730469	-29.189085
516.796875	-31.292278
559.863281	-30.068699
602.929688	-31.457848
645.996094	-34.155930
689.062500	-34.017700
732.128906	-32.976128
775.195312	-30.184429
818.261719	-28.503107
861.328125	-29.061886
904.394531	-30.743708
947.460938	-28.977093
990.527344	-27.838289
1033.593750	-30.079762
1076.660156	-33.627239
1119.726562	-34.939896
1162.792969	-34.317970
1205.859375	-31.101519
1248.925781	-28.712021
1291.992188	-27.048540
1335.058594	-25.857971
1378.125000	-28.108601
1421.191406	-29.499207
1464.257812	-29.623501
1507.324219	-31.156040
1550.390625	-35.503738
1593.457031	-35.354832
1636.523438	-33.933453
1679.589844	-35.028057
1722.656250	-34.841282
1765.722656	-33.634586
1808.789062	-34.966496
1851.855469	-35.989475
1894.921875	-36.226624
1937.988281	-34.292686
1981.054688	-33.609943
2024.121094	-32.731087
2067.187500	-31.964905
2110.253906	-31.874260
2153.320312	-31.746435
2196.386719	-33.396019
2239.453125	-34.889210
2282.519531	-36.007637
2325.585938	-35.824089
2368.652344	-35.857388
2411.718750	-35.878212
2454.785156	-36.668468
2497.851562	-38.140408
2540.917969	-37.256966
2583.984375	-35.785313
2627.050781	-34.953266
2670.117188	-34.980164
2713.183594	-35.588604
2756.250000	-37.409145
2799.316406	-39.569126
2842.382812	-40.467846
2885.449219	-41.397881
2928.515625	-42.154575
2971.582031	-44.390072
3014.648438	-46.980946
3057.714844	-41.897831
3100.781250	-37.119804
3143.847656	-37.621346
3186.914062	-37.597008
3229.980469	-35.955296
3273.046875	-35.227448
3316.113281	-35.871727
3359.179688	-35.330261
3402.246094	-34.998211
3445.312500	-35.849854
3488.378906	-34.465897
3531.445312	-34.410419
3574.511719	-36.291088
3617.578125	-36.875378
3660.644531	-38.541950
